farm_id,weight,percent,min,max,average
Farm 42,5980641,1.91,16131,16633,16385.317808219177
Farm 43,1099282,0.35,2830,3230,3011.731506849315
Farm 44,1501374,0.48,8158,8568,8387.564245810056
Farm 45,3381181,1.08,9058,9462,9263.509589041096
Farm 46,3667103,1.17,9789,10253,10046.857534246576
Farm 47,4004551,1.28,10759,11178,10971.372602739726
Farm 48,1160122,0.37,3005,3424,3178.4164383561642
Farm 49,1888432,0.6,10275,10712,10549.899441340782
Farm 50,6394969,2.04,17324,17754,17520.46301369863
Farm 51,2288667,0.73,6019,6490,6270.320547945205
Farm 52,2464482,0.79,6481,7018,6752.005479452055
Farm 53,3865302,1.24,10369,10763,10589.868493150685
Farm 54,2934493,0.94,7806,8255,8039.706849315068
Farm 55,6181672,1.98,16714,17174,16936.087671232875
Farm 56,1923193,0.61,10554,10985,10744.09497206704
Farm 57,2518171,0.81,6646,7130,6899.098630136987
Farm 58,6465347,2.07,17449,17950,17713.279452054794
Farm 59,6212038,1.99,16827,17218,17019.28219178082
Farm 60,3237136,1.03,8633,9140,8868.865753424658
Farm 61,6379201,2.04,17249,17712,17477.26301369863
Farm 62,3443340,1.1,9227,9652,9433.808219178081
Farm 63,6299888,2.01,17067,17470,17259.96712328767
Farm 64,6184087,1.98,16753,17133,16942.70410958904
Farm 65,2235257,0.71,5903,6356,6123.991780821918
Farm 66,372680,0.12,1895,2349,2082.0111731843576
Farm 67,6207733,1.98,16778,17182,17007.487671232877
Farm 68,3732046,1.19,9978,10417,10224.783561643835
Farm 69,3256237,1.04,8707,9158,8921.197260273973
Farm 70,1247968,0.4,3226,3636,3419.090410958904
Farm 71,4090234,1.31,10973,11417,11206.120547945206
Farm 72,6559274,2.1,17757,18193,17970.613698630135
Farm 73,989988,0.32,2529,2963,2712.2958904109587
Farm 74,2446875,0.78,6476,6956,6703.767123287671
Farm 75,2774603,0.89,7428,7845,7601.65205479452
Farm 76,1394145,0.45,3588,4073,3819.5753424657532
Farm 77,3734157,1.19,9983,10470,10230.567123287672
Farm 78,3078923,0.98,8188,8664,8435.405479452054
Farm 79,1137139,0.36,6115,6554,6352.731843575419
Farm 80,3076379,0.98,8120,8718,8428.435616438355
Farm 81,3955307,1.26,10619,11044,10836.457534246576
Farm 82,1131577,0.36,2870,3333,3100.2109589041097
Farm 83,2968620,0.95,7919,8363,8133.2054794520545
Farm 84,802748,0.26,1935,2412,2199.309589041096
Farm 85,3506694,1.12,9413,9849,9607.380821917808
Farm 86,928288,0.3,2329,2785,2543.254794520548
Farm 87,648142,0.21,3386,3824,3620.905027932961
Farm 88,2097763,0.67,11534,11951,11719.346368715083
Farm 89,1272820,0.41,3260,3710,3487.178082191781
Farm 90,5870679,1.88,15879,16296,16084.05205479452
Farm 91,3321522,1.06,8901,9316,9100.060273972602
Farm 92,1270416,0.41,3232,3705,3480.591780821918
Farm 93,6231073,1.99,16866,17324,17071.43287671233
Farm 94,1239920,0.4,3191,3605,3397.041095890411
Farm 95,1224655,0.39,6600,7070,6841.648044692737
Farm 96,3008970,0.96,16597,17008,16809.888268156425
Farm 97,1327455,0.42,3431,3831,3636.8630136986303
Farm 98,6032235,1.93,16309,16779,16526.671232876713
Farm 99,4314060,1.38,11621,12096,11819.342465753425
